subject,file,n_raw,n_dedup,exact_dup_frac,fs_raw,fs_dedup
1049,2026-08-08_06.csv,281458,154933,0.45,162.95,89.7
1049,2026-08-08_07.csv,77175,41693,0.46,166.26,89.82
1789,2026-08-07_08.csv,119276,114555,0.04,92.94,89.26
1789,2026-08-07_10.csv,141911,88718,0.375,143.29,89.58
1789,2026-08-09_13.csv,99143,53112,0.464,166.53,89.21
1789,2026-08-09_14.csv,348350,303463,0.129,102.44,89.24
1789,2026-08-09_15.csv,62592,55505,0.113,100.5,89.12
1789,2026-08-09_16.csv,108623,99184,0.087,97.71,89.22
1789,2026-08-09_17.csv,113656,113656,0.0,89.2,89.2
1789,2026-08-10_05.csv,123233,75842,0.385,145.97,89.83
1789,2026-08-13_10.csv,35072,24439,0.303,128.45,89.5
1789,2026-08-17_07.csv,216318,216318,0.0,89.58,89.58
1789,2026-08-17_08.csv,200901,200901,0.0,89.6,89.6
1789,2026-08-17_09.csv,24852,24852,0.0,87.96,87.96
1789,2026-08-17_10.csv,25387,25387,0.0,89.5,89.5
1789,2026-08-20_09.csv,159905,159905,0.0,90.06,90.06
1789,2026-08-20_10.csv,140831,140831,0.0,89.7,89.7
1793,2026-08-08_06.csv,4755,4755,0.0,90.13,90.13
1793,2026-08-08_07.csv,495085,270571,0.453,163.77,89.5
1793,2026-08-08_08.csv,421884,264678,0.373,141.8,88.96
1793,2026-08-08_09.csv,326257,245855,0.246,119.09,89.74
1793,2026-08-08_10.csv,354477,256408,0.277,124.01,89.7
1793,2026-08-08_11.csv,56785,39034,0.313,130.62,89.79
1793,2026-08-09_16.csv,187047,113639,0.392,147.44,89.58
1793,2026-08-09_17.csv,336497,196909,0.415,153.59,89.88
1793,2026-08-10_05.csv,69036,47718,0.309,130.18,89.98
1794,2026-08-07_08.csv,185539,105222,0.433,157.94,89.57
1794,2026-08-07_09.csv,201732,187538,0.07,96.43,89.64
1794,2026-08-07_10.csv,302729,281463,0.07,96.38,89.61
1794,2026-08-09_11.csv,124310,73408,0.409,152.97,90.33
1794,2026-08-09_12.csv,437054,221502,0.493,178.44,90.44
1794,2026-08-09_13.csv,504376,280599,0.444,162.42,90.36
1794,2026-08-09_14.csv,478417,250974,0.475,172.26,90.37
1794,2026-08-09_15.csv,24864,20147,0.19,111.69,90.5
1794,2026-08-09_16.csv,181197,125503,0.307,130.39,90.31
1794,2026-08-09_17.csv,309040,194182,0.372,143.75,90.32
1794,2026-08-10_05.csv,228635,129138,0.435,159.51,90.09
