record,arm,lead,fs,paced,n_ref,n_det,TP,FN,FP,sensitivity,ppv,f1,excluded
100,A_360_clean,MLII,360.0,False,2273.0,2270.0,2270.0,3.0,0.0,0.9987,1.0,0.9993,
100,B_89.7_clean,MLII,89.7,False,2273.0,2270.0,2270.0,3.0,0.0,0.9987,1.0,0.9993,
100,C_89.7_raw,MLII,89.7,False,2273.0,2270.0,2270.0,3.0,0.0,0.9987,1.0,0.9993,
100,D_133.8_clean,MLII,133.83,False,2273.0,2270.0,2270.0,3.0,0.0,0.9987,1.0,0.9993,
100,E_133.8_raw,MLII,133.83,False,2273.0,2270.0,2270.0,3.0,0.0,0.9987,1.0,0.9993,
101,A_360_clean,MLII,360.0,False,1865.0,1865.0,1863.0,2.0,2.0,0.9989,0.9989,0.9989,
101,B_89.7_clean,MLII,89.7,False,1865.0,1864.0,1863.0,2.0,1.0,0.9989,0.9995,0.9992,
101,C_89.7_raw,MLII,89.7,False,1865.0,1865.0,1863.0,2.0,2.0,0.9989,0.9989,0.9989,
101,D_133.8_clean,MLII,133.83,False,1865.0,1865.0,1863.0,2.0,2.0,0.9989,0.9989,0.9989,
101,E_133.8_raw,MLII,133.83,False,1865.0,1868.0,1862.0,3.0,6.0,0.9984,0.9968,0.9976,
102,-,V5|V2,,,,,,,,,,,no MLII channel
103,A_360_clean,MLII,360.0,False,2084.0,2084.0,2084.0,0.0,0.0,1.0,1.0,1.0,
103,B_89.7_clean,MLII,89.7,False,2084.0,2084.0,2084.0,0.0,0.0,1.0,1.0,1.0,
103,C_89.7_raw,MLII,89.7,False,2084.0,2084.0,2084.0,0.0,0.0,1.0,1.0,1.0,
103,D_133.8_clean,MLII,133.83,False,2084.0,2084.0,2084.0,0.0,0.0,1.0,1.0,1.0,
103,E_133.8_raw,MLII,133.83,False,2084.0,2084.0,2084.0,0.0,0.0,1.0,1.0,1.0,
104,-,V5|V2,,,,,,,,,,,no MLII channel
105,A_360_clean,MLII,360.0,False,2572.0,2561.0,2546.0,26.0,15.0,0.9899,0.9941,0.992,
105,B_89.7_clean,MLII,89.7,False,2572.0,2550.0,2541.0,31.0,9.0,0.9879,0.9965,0.9922,
105,C_89.7_raw,MLII,89.7,False,2572.0,2561.0,2548.0,24.0,13.0,0.9907,0.9949,0.9928,
105,D_133.8_clean,MLII,133.83,False,2572.0,2563.0,2550.0,22.0,13.0,0.9914,0.9949,0.9932,
105,E_133.8_raw,MLII,133.83,False,2572.0,2569.0,2552.0,20.0,17.0,0.9922,0.9934,0.9928,
106,A_360_clean,MLII,360.0,False,2027.0,2031.0,2022.0,5.0,9.0,0.9975,0.9956,0.9966,
106,B_89.7_clean,MLII,89.7,False,2027.0,2025.0,2017.0,10.0,8.0,0.9951,0.996,0.9956,
106,C_89.7_raw,MLII,89.7,False,2027.0,2033.0,2024.0,3.0,9.0,0.9985,0.9956,0.997,
106,D_133.8_clean,MLII,133.83,False,2027.0,2037.0,2025.0,2.0,12.0,0.999,0.9941,0.9966,
106,E_133.8_raw,MLII,133.83,False,2027.0,2037.0,2027.0,0.0,10.0,1.0,0.9951,0.9975,
107,A_360_clean,MLII,360.0,True,2137.0,2136.0,2136.0,1.0,0.0,0.9995,1.0,0.9998,
107,B_89.7_clean,MLII,89.7,True,2137.0,2134.0,2134.0,3.0,0.0,0.9986,1.0,0.9993,
107,C_89.7_raw,MLII,89.7,True,2137.0,2136.0,2136.0,1.0,0.0,0.9995,1.0,0.9998,
107,D_133.8_clean,MLII,133.83,True,2137.0,2136.0,2136.0,1.0,0.0,0.9995,1.0,0.9998,
107,E_133.8_raw,MLII,133.83,True,2137.0,2136.0,2136.0,1.0,0.0,0.9995,1.0,0.9998,
108,A_360_clean,MLII,360.0,False,1763.0,1744.0,1563.0,200.0,181.0,0.8866,0.8962,0.8914,
108,B_89.7_clean,MLII,89.7,False,1763.0,1716.0,1556.0,207.0,160.0,0.8826,0.9068,0.8945,
108,C_89.7_raw,MLII,89.7,False,1763.0,1758.0,1640.0,123.0,118.0,0.9302,0.9329,0.9316,
108,D_133.8_clean,MLII,133.83,False,1763.0,1753.0,1623.0,140.0,130.0,0.9206,0.9258,0.9232,
108,E_133.8_raw,MLII,133.83,False,1763.0,1780.0,1670.0,93.0,110.0,0.9472,0.9382,0.9427,
109,A_360_clean,MLII,360.0,False,2532.0,2531.0,2531.0,1.0,0.0,0.9996,1.0,0.9998,
109,B_89.7_clean,MLII,89.7,False,2532.0,2530.0,2530.0,2.0,0.0,0.9992,1.0,0.9996,
109,C_89.7_raw,MLII,89.7,False,2532.0,2530.0,2530.0,2.0,0.0,0.9992,1.0,0.9996,
109,D_133.8_clean,MLII,133.83,False,2532.0,2531.0,2531.0,1.0,0.0,0.9996,1.0,0.9998,
109,E_133.8_raw,MLII,133.83,False,2532.0,2531.0,2531.0,1.0,0.0,0.9996,1.0,0.9998,
111,A_360_clean,MLII,360.0,False,2124.0,2124.0,2124.0,0.0,0.0,1.0,1.0,1.0,
111,B_89.7_clean,MLII,89.7,False,2124.0,2123.0,2123.0,1.0,0.0,0.9995,1.0,0.9998,
111,C_89.7_raw,MLII,89.7,False,2124.0,2123.0,2123.0,1.0,0.0,0.9995,1.0,0.9998,
111,D_133.8_clean,MLII,133.83,False,2124.0,2124.0,2124.0,0.0,0.0,1.0,1.0,1.0,
111,E_133.8_raw,MLII,133.83,False,2124.0,2124.0,2123.0,1.0,1.0,0.9995,0.9995,0.9995,
112,A_360_clean,MLII,360.0,False,2539.0,2539.0,2539.0,0.0,0.0,1.0,1.0,1.0,
112,B_89.7_clean,MLII,89.7,False,2539.0,2539.0,2539.0,0.0,0.0,1.0,1.0,1.0,
112,C_89.7_raw,MLII,89.7,False,2539.0,2539.0,2539.0,0.0,0.0,1.0,1.0,1.0,
112,D_133.8_clean,MLII,133.83,False,2539.0,2539.0,2539.0,0.0,0.0,1.0,1.0,1.0,
112,E_133.8_raw,MLII,133.83,False,2539.0,2539.0,2539.0,0.0,0.0,1.0,1.0,1.0,
113,A_360_clean,MLII,360.0,False,1795.0,2833.0,1794.0,1.0,1039.0,0.9994,0.6333,0.7753,
113,B_89.7_clean,MLII,89.7,False,1795.0,3239.0,1794.0,1.0,1445.0,0.9994,0.5539,0.7128,
113,C_89.7_raw,MLII,89.7,False,1795.0,2458.0,1794.0,1.0,664.0,0.9994,0.7299,0.8436,
113,D_133.8_clean,MLII,133.83,False,1795.0,2350.0,1794.0,1.0,556.0,0.9994,0.7634,0.8656,
113,E_133.8_raw,MLII,133.83,False,1795.0,1876.0,1794.0,1.0,82.0,0.9994,0.9563,0.9774,
114,A_360_clean,MLII,360.0,False,1879.0,1881.0,1878.0,1.0,3.0,0.9995,0.9984,0.9989,
114,B_89.7_clean,MLII,89.7,False,1879.0,1878.0,1878.0,1.0,0.0,0.9995,1.0,0.9997,
114,C_89.7_raw,MLII,89.7,False,1879.0,1881.0,1878.0,1.0,3.0,0.9995,0.9984,0.9989,
114,D_133.8_clean,MLII,133.83,False,1879.0,1882.0,1878.0,1.0,4.0,0.9995,0.9979,0.9987,
114,E_133.8_raw,MLII,133.83,False,1879.0,1882.0,1878.0,1.0,4.0,0.9995,0.9979,0.9987,
115,A_360_clean,MLII,360.0,False,1953.0,1953.0,1953.0,0.0,0.0,1.0,1.0,1.0,
115,B_89.7_clean,MLII,89.7,False,1953.0,1953.0,1953.0,0.0,0.0,1.0,1.0,1.0,
115,C_89.7_raw,MLII,89.7,False,1953.0,1957.0,1953.0,0.0,4.0,1.0,0.998,0.999,
115,D_133.8_clean,MLII,133.83,False,1953.0,1953.0,1953.0,0.0,0.0,1.0,1.0,1.0,
115,E_133.8_raw,MLII,133.83,False,1953.0,1953.0,1953.0,0.0,0.0,1.0,1.0,1.0,
116,A_360_clean,MLII,360.0,False,2412.0,2400.0,2398.0,14.0,2.0,0.9942,0.9992,0.9967,
116,B_89.7_clean,MLII,89.7,False,2412.0,2397.0,2395.0,17.0,2.0,0.993,0.9992,0.996,
